======================================================================
일봉 필터 옵션별 시뮬레이션 비교
======================================================================

======================================================================
필터 옵션: none
======================================================================
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [226950] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [417970] 일봉 DuckDB에서 로드 (773개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [040300] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [458870] 일봉 DuckDB에서 로드 (1440개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [161390] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [226950] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [092300] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [114450] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [020150] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [340930] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [310210] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [011170] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [011170] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [195990] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [078350] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [340930] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [006650] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [220100] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [300080] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [431190] 일봉 DuckDB에서 로드 (313개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [413630] 일봉 DuckDB에서 로드 (1349개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [000230] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [174900] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [007810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [397030] 일봉 DuckDB에서 로드 (1285개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [174900] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [347850] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [338840] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [007810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [042520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [000990] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [089970] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [058610] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [072950] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [087010] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [298380] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [042520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [005710] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [950160] 일봉 DuckDB에서 로드 (782개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [058610] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [102940] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [448900] 일봉 DuckDB에서 로드 (1203개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [058610] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [347850] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [950160] 일봉 DuckDB에서 로드 (782개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [114450] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [214370] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [036630] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:47 | utils.data_cache | DEBUG | [440110] 일봉 DuckDB에서 로드 (851개)
